Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2022-09-21 13:23:05,33.93911,67.709953,197788,7796,,,,,Afghanistan,508.08227352920073,,,4,AFG,6361,28
,Albania,2022-09-21 13:23:05,41.1533,20.1683,331715,3589,,,,,Albania,11526.687052609632,,,8,ALB,4928,12
,Algeria,2022-09-21 13:23:05,28.0339,1.6596,270612,6879,,,,,Algeria,617.1164503430398,,,12,DZA,641,1
,Andorra,2022-09-21 13:23:05,42.5063,1.5218,46147,155,,,,,Andorra,59725.619620785605,,,20,AND,172,1
,Angola,2022-09-21 13:23:05,-11.2027,17.8739,103131,1917,,,,,Angola,313.78981026990954,,,24,AGO,495,0
,Antarctica,2022-09-21 13:23:05,-71.9499,23.347,11,0,,,,,Antarctica,,,,10,ATA,0,0
,Antigua and Barbuda,2022-09-21 13:23:05,17.0608,-61.7964,9008,145,,,,,Antigua and Barbuda,9198.594886038722,,,28,ATG,113,1
,Argentina,2022-09-21 13:23:05,-38.4161,-63.6167,9703938,129855,,,,,Argentina,21470.895389186477,,,32,ARG,45547,209
,Armenia,2022-09-21 13:23:05,40.0691,45.0382,441444,8679,,,,,Armenia,14897.372262872252,,,51,ARM,9170,31
Australian Capital Territory,Australia,2022-09-21 13:23:05,-35.4735,149.0124,204397,125,,,,,"Australian Capital Territory, Australia",47745.15300163513,,,3601,AUS,3308,1
New South Wales,Australia,2022-09-21 13:23:05,-33.8688,151.2093,3481151,5163,,,,,"New South Wales, Australia",42881.87977334319,,,3602,AUS,81051,418
Northern Territory,Australia,2022-09-21 13:23:05,-12.4634,130.8456,96768,70,,,,,"Northern Territory, Australia",39400.65146579805,,,3603,AUS,1612,8
Queensland,Australia,2022-09-21 13:23:05,-27.4698,153.0251,1622985,2125,,,,,"Queensland, Australia",31726.81067344345,,,3604,AUS,29829,225
South Australia,Australia,2022-09-21 13:23:05,-34.9285,138.6007,762643,907,,,,,"South Australia, Australia",43418.33191004839,,,3605,AUS,14801,121
Tasmania,Australia,2022-09-21 13:23:05,-42.8821,147.3272,248012,185,,,,,"Tasmania, Australia",46314.0989729225,,,3606,AUS,4073,9
Victoria,Australia,2022-09-21 13:23:05,-37.8136,144.9631,2601734,5573,,,,,"Victoria, Australia",39242.43201254921,,,3607,AUS,55173,423
Western Australia,Australia,2022-09-21 13:23:05,-31.9505,115.8605,1145119,639,,,,,"Western Australia, Australia",43530.71542613852,,,3608,AUS,24049,65
,Austria,2022-09-21 13:23:05,47.5162,14.5501,5033797,20683,,,,,Austria,55891.332829987565,,,40,AUT,115559,105
,Azerbaijan,2022-09-21 13:23:05,40.1431,47.5769,820098,9897,,,,,Azerbaijan,8088.409559949404,,,31,AZE,11134,100
,Bahamas,2022-09-21 13:23:05,25.025885,-78.035889,37213,833,,,,,Bahamas,9462.985190007324,,,44,BHS,217,10
,Bahrain,2022-09-21 13:23:05,26.0275,50.55,676846,1520,,,,,Bahrain,39777.43078063192,,,48,BHR,6670,7
,Bangladesh,2022-09-21 13:23:05,23.685,90.3563,2019470,29345,,,,,Bangladesh,1226.2296228288135,,,50,BGD,8506,29
,Barbados,2022-09-21 13:23:05,13.1939,-59.5432,102279,559,,,,,Barbados,35591.273997724194,,,52,BRB,2309,27
,Belarus,2022-09-21 13:23:05,53.7098,27.9534,994037,7118,,,,,Belarus,10519.665910386577,,,112,BLR,0,0
Antwerp,Belgium,2022-09-21 13:23:05,51.2195,4.4024,727537,0,,,,,"Antwerp, Belgium",39157.29182028282,,,5601,BEL,8039,0
Brussels,Belgium,2022-09-21 13:23:05,50.8503,4.3517,488341,0,,,,,"Brussels, Belgium",40407.44963766257,,,5602,BEL,3612,0
East Flanders,Belgium,2022-09-21 13:23:05,51.0362,3.7373,611688,0,,,,,"East Flanders, Belgium",40373.73998722166,,,5603,BEL,5856,0
Flemish Brabant,Belgium,2022-09-21 13:23:05,50.9167,4.5833,441252,0,,,,,"Flemish Brabant, Belgium",38497.786114685805,,,5604,BEL,4545,0
Hainaut,Belgium,2022-09-21 13:23:05,50.5257,4.0621,496426,0,,,,,"Hainaut, Belgium",36929.83624216193,,,5605,BEL,5113,0
Liege,Belgium,2022-09-21 13:23:05,50.4496,5.8492,403538,0,,,,,"Liege, Belgium",36453.56064000462,,,5606,BEL,3830,0
Limburg,Belgium,2022-09-21 13:23:05,50.9739,5.342,332902,0,,,,,"Limburg, Belgium",38087.38192868127,,,5607,BEL,3547,0
Luxembourg,Belgium,2022-09-21 13:23:05,50.0547,5.4677,117162,0,,,,,"Luxembourg, Belgium",41161.75633611816,,,5608,BEL,1610,0
Namur,Belgium,2022-09-21 13:23:05,50.331,4.8221,193494,0,,,,,"Namur, Belgium",39143.07388863602,,,5609,BEL,2408,0
Unknown,Belgium,2022-09-21 13:23:05,,,61025,32636,,,,,"Unknown, Belgium",,,,5610,BEL,490,173
Walloon Brabant,Belgium,2022-09-21 13:23:05,50.4,4.35,165859,0,,,,,"Walloon Brabant, Belgium",41094.99775767532,,,5611,BEL,1683,0
West Flanders,Belgium,2022-09-21 13:23:05,51.0536,3.1458,477988,0,,,,,"West Flanders, Belgium",39972.36986910811,,,5612,BEL,4859,0
,Belize,2022-09-21 13:23:05,17.1899,-88.4976,68743,683,,,,,Belize,17288.573792631676,,,84,BLZ,711,3
,Benin,2022-09-21 13:23:05,9.3077,2.3158,27638,163,,,,,Benin,227.97614952754216,,,204,BEN,322,0
,Bhutan,2022-09-21 13:23:05,27.5142,90.4336,61730,21,,,,,Bhutan,8000.134782766469,,,64,BTN,832,0
