Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2022-08-04 20:20:52,33.93911,67.709953,186697,7752,,,479.5914626826764,,,4.152182413214995,4,AFG,3414,27
Albania,2022-08-04 20:20:52,41.1533,20.1683,315337,3554,,,10957.571756202657,,,1.1270482055705484,8,ALB,30750,45
Algeria,2022-08-04 20:20:52,28.0339,1.6596,267777,6876,,,610.6513817698703,,,2.567808288239841,12,DZA,1596,1
Andorra,2022-08-04 20:20:52,42.5063,1.5218,45793,154,,,59267.456157380446,,,0.3362959404275762,20,AND,1122,1
Angola,2022-08-04 20:20:52,-11.2027,17.8739,102301,1912,,,311.2644246678692,,,1.8689944379820331,24,AGO,981,12
Antarctica,2022-08-04 20:20:52,-71.9499,23.347,11,0,,,,,,0.0,10,ATA,0,0
Antigua and Barbuda,2022-08-04 20:20:52,17.0608,-61.7964,8773,144,,,8958.622661547259,,,1.6413997492305938,28,ATG,105,3
Argentina,2022-08-04 20:20:52,-38.4161,-63.6167,9560307,129369,,,21153.09799851433,,,1.3531887626621195,32,ARG,165981,260
Armenia,2022-08-04 20:20:52,40.0691,45.0382,426799,8635,,,14403.148721970658,,,2.023200616683732,51,ARM,3382,6
Australia,2022-08-04 20:20:52,-25.0,133.0,9554404,12119,,,37527.559240682334,,,0.1268420301255839,36,AUS,1176506,1920
Austria,2022-08-04 20:20:52,47.5162,14.5501,4815584,20396,,,53468.46686800497,,,0.4235415683746769,40,AUT,290202,308
Azerbaijan,2022-08-04 20:20:52,40.1431,47.5769,800478,9755,,,7894.902691787053,,,1.2186468585020451,31,AZE,6595,35
Bahamas,2022-08-04 20:20:52,25.025885,-78.035889,36745,822,,,9343.976320286434,,,2.237039052932372,44,BHS,612,1
Bahrain,2022-08-04 20:20:52,26.0275,50.55,661116,1511,,,38852.99747352906,,,0.2285529317094125,48,BHR,26189,13
Bangladesh,2022-08-04 20:20:52,23.685,90.3563,2006646,29300,,,1218.442842790904,,,1.4601479284338144,50,BGD,21668,113
Barbados,2022-08-04 20:20:52,13.1939,-59.5432,92841,495,,,32307.017757532944,,,0.5331696125634149,52,BRB,7510,18
Belarus,2022-08-04 20:20:52,53.7098,27.9534,994037,7118,,,10519.665910386577,,,0.7160699249625517,112,BLR,0,0
Belgium,2022-08-04 20:20:52,50.8333,4.469936,4425201,32263,,,38504.648322348185,,,0.7290742273627797,56,BEL,159905,311
Belize,2022-08-04 20:20:52,17.1899,-88.4976,67309,680,,,16927.92885687627,,,1.0102660862588957,84,BLZ,2522,0
Benin,2022-08-04 20:20:52,9.3077,2.3158,27316,163,,,225.3200846839258,,,0.5967198711377947,204,BEN,100,0
Bhutan,2022-08-04 20:20:52,27.5142,90.4336,60530,21,,,7844.616206072482,,,0.0346935403931934,64,BTN,706,0
Bolivia,2022-08-04 20:20:52,-16.2902,-63.5887,1052030,22080,,,9012.485105622542,,,2.098799463893615,68,BOL,110496,109
Bosnia and Herzegovina,2022-08-04 20:20:52,43.9159,17.6791,387076,15888,,,11798.166004483644,,,4.104620281288429,70,BIH,7230,75
