Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2022-08-28 08:33:03,-35.4735,149.0124,201956,123,,,,47174.959121700536,,,0.0609043554041474,3601,AUS,,,10483,31
New South Wales,Australia,2022-08-28 08:33:03,-33.8688,151.2093,3420381,4821,,,,42133.29637841833,,,0.1409492100441442,3602,AUS,,,233274,663
Northern Territory,Australia,2022-08-28 08:33:03,-12.4634,130.8456,95483,68,,,,38877.44299674267,,,0.0712168658295193,3603,AUS,,,4488,13
Queensland,Australia,2022-08-28 08:33:03,-27.4698,153.0251,1600452,1937,,,,31286.325872348745,,,0.1210283095025655,3604,AUS,,,87561,370
South Australia,Australia,2022-08-28 08:33:03,-34.9285,138.6007,751530,777,,,,42785.65328778821,,,0.1033890862640214,3605,AUS,,,42841,103
Tasmania,Australia,2022-08-28 08:33:03,-42.8821,147.3272,244858,177,,,,45725.11671335201,,,0.0722867947953507,3606,AUS,,,13618,39
Victoria,Australia,2022-08-28 08:33:03,-37.8136,144.9631,2556519,5261,,,,38560.4458589119,,,0.2057876354527386,3607,AUS,,,135531,602
Western Australia,Australia,2022-08-28 08:33:03,-31.9505,115.8605,1125989,585,,,,42803.50490382422,,,0.0519543263744139,3608,AUS,,,61043,82
Antwerp,Belgium,2022-08-28 08:33:03,51.2195,4.4024,720596,0,,,,38540.110069368304,,,0.0,5601,BEL,,,11279,0
Brussels,Belgium,2022-08-28 08:33:03,50.8503,4.3517,485167,0,,,,39824.74933408851,,,0.0,5602,BEL,,,5222,0
East Flanders,Belgium,2022-08-28 08:33:03,51.0362,3.7373,606788,0,,,,39782.72485584378,,,0.0,5603,BEL,,,10192,0
Flemish Brabant,Belgium,2022-08-28 08:33:03,50.9167,4.5833,437348,0,,,,37838.01087171874,,,0.0,5604,BEL,,,6122,0
Hainaut,Belgium,2022-08-28 08:33:03,50.5257,4.0621,491928,0,,,,36524.60574381516,,,0.0,5605,BEL,,,6461,0
Liege,Belgium,2022-08-28 08:33:03,50.4496,5.8492,400227,0,,,,36062.98432149937,,,0.0,5606,BEL,,,5182,0
Limburg,Belgium,2022-08-28 08:33:03,50.9739,5.342,329833,0,,,,37593.37565679246,,,0.0,5607,BEL,,,4695,0
Luxembourg,Belgium,2022-08-28 08:33:03,50.0547,5.4677,115756,0,,,,40367.983483986165,,,0.0,5608,BEL,,,1801,0
Namur,Belgium,2022-08-28 08:33:03,50.331,4.8221,191353,0,,,,38592.30545830039,,,0.0,5609,BEL,,,2855,0
Unknown,Belgium,2022-08-28 08:33:03,,,60603,32496,,,,,,,53.62110786594723,5610,BEL,,,739,268
Walloon Brabant,Belgium,2022-08-28 08:33:03,50.4,4.35,164389,0,,,,40488.00671889739,,,0.0,5611,BEL,,,2208,0
West Flanders,Belgium,2022-08-28 08:33:03,51.0536,3.1458,473782,0,,,,39450.76585522234,,,0.0,5612,BEL,,,6759,0
Acre,Brazil,2022-08-28 08:33:03,-9.0238,-70.812,148857,2027,,,,16878.45476140532,,,1.3617095601819196,7601,BRA,,,5676,9
Alagoas,Brazil,2022-08-28 08:33:03,-9.5713,-36.782,319997,7115,,,,9588.335919711317,,,2.223458344921984,7602,BRA,,,2175,47
Amapa,Brazil,2022-08-28 08:33:03,0.902,-52.003,178046,2158,,,,21052.3204186674,,,1.2120463251069948,7603,BRA,,,1667,9
Amazonas,Brazil,2022-08-28 08:33:03,-3.4168,-65.8561,613104,14276,,,,14792.849582239238,,,2.3284793444505336,7604,BRA,,,7519,52
Bahia,Brazil,2022-08-28 08:33:03,-12.5797,-41.7007,1684343,30620,,,,11324.788221176215,,,1.8179195092685991,7605,BRA,,,23965,266
Ceara,Brazil,2022-08-28 08:33:03,-5.4984,-39.3206,1379552,27545,,,,15106.660280387445,,,1.996662684697641,7606,BRA,,,19344,130
Distrito Federal,Brazil,2022-08-28 08:33:03,-15.7998,-47.8645,836851,11825,,,,27753.78506985117,,,1.413035295411011,7607,BRA,,,6286,6
Espirito Santo,Brazil,2022-08-28 08:33:03,-19.1834,-40.3089,1213842,14784,,,,30205.218170281063,,,1.2179509359537732,7608,BRA,,,10823,89
Goias,Brazil,2022-08-28 08:33:03,-15.827,-49.8362,1672524,27434,,,,23830.715863007197,,,1.6402754160777364,7609,BRA,,,59822,249
Maranhao,Brazil,2022-08-28 08:33:03,-4.9609,-45.2744,468013,10984,,,,6614.8555068767855,,,2.346943354137599,7610,BRA,,,7988,45
Mato Grosso,Brazil,2022-08-28 08:33:03,-12.6819,-56.9211,825018,14919,,,,23677.02827348581,,,1.8083241820178468,7611,BRA,,,13447,56
Mato Grosso do Sul,Brazil,2022-08-28 08:33:03,-20.7722,-54.7852,576396,10786,,,,20741.234392688555,,,1.8712829374249649,7612,BRA,,,11834,79
Minas Gerais,Brazil,2022-08-28 08:33:03,-18.5122,-44.555,3868256,63492,,,,18273.391239017856,,,1.6413598272709975,7613,BRA,,,54129,590
Para,Brazil,2022-08-28 08:33:03,-1.9981,-54.9306,829647,18700,,,,9643.845393366048,,,2.2539706646320665,7614,BRA,,,18778,158
Paraiba,Brazil,2022-08-28 08:33:03,-7.24,-36.782,650526,10396,,,,16189.781955622608,,,1.598091390659251,7615,BRA,,,4843,44
Parana,Brazil,2022-08-28 08:33:03,-25.2521,-52.0215,2730755,45085,,,,23882.851754646268,,,1.651008603847654,7616,BRA,,,38235,580
Pernambuco,Brazil,2022-08-28 08:33:03,-8.8137,-36.9541,1046168,22182,,,,10946.53372356447,,,2.120309548753164,7617,BRA,,,17180,140
Piaui,Brazil,2022-08-28 08:33:03,-7.7183,-42.7289,396503,7929,,,,12113.519777271787,,,1.9997326628045689,7618,BRA,,,9849,50
Rio Grande do Norte,Brazil,2022-08-28 08:33:03,-5.4026,-36.9541,551216,8439,,,,15718.25223355527,,,1.5309787814577225,7620,BRA,,,4543,44
Rio Grande do Sul,Brazil,2022-08-28 08:33:03,-30.0346,-51.2177,2704838,40818,,,,23774.11602234953,,,1.5090737412000277,7621,BRA,,,60396,361
Rio de Janeiro,Brazil,2022-08-28 08:33:03,-22.9068,-43.1729,2482240,75355,,,,14377.34257217067,,,3.035766082248292,7619,BRA,,,37146,589
Rondonia,Brazil,2022-08-28 08:33:03,-11.5057,-63.5806,454283,7346,,,,25561.366737469933,,,1.6170536867987575,7622,BRA,,,10474,45
Roraima,Brazil,2022-08-28 08:33:03,-2.7376,-62.0751,174551,2167,,,,28815.15977423439,,,1.2414709740992604,7623,BRA,,,1936,9
Santa Catarina,Brazil,2022-08-28 08:33:03,-27.2423,-50.2189,1860591,22343,,,,25968.542265311968,,,1.2008549971487554,7624,BRA,,,21638,123
Sao Paulo,Brazil,2022-08-28 08:33:03,-23.5505,-46.6333,6016839,174047,,,,13103.143751953574,,,2.8926650688176965,7625,BRA,,,99571,1112
Sergipe,Brazil,2022-08-28 08:33:03,-10.5741,-37.3857,342616,6429,,,,14904.798198630877,,,1.8764447661521937,7626,BRA,,,1636,17
Tocantins,Brazil,2022-08-28 08:33:03,-10.1753,-48.2982,343337,4196,,,,21828.750828106145,,,1.2221228705324507,7627,BRA,,,4422,12
Alberta,Canada,2022-08-28 08:33:03,53.9333,-116.5765,601337,4748,,,,13534.8498124752,,,0.789573899493961,12401,CAN,,,6863,83
British Columbia,Canada,2022-08-28 08:33:03,53.7267,-127.6476,381788,4097,,,,7321.232529308382,,,1.073108636206481,12402,CAN,,,3497,189
Diamond Princess,Canada,2022-08-28 08:33:03,,,0,1,,,,,,,,12413,CAN,,,0,0
Grand Princess,Canada,2022-08-28 08:33:03,,,13,0,,,,,,,0.0,12414,CAN,,,0,0
Manitoba,Canada,2022-08-28 08:33:03,53.7609,-98.8139,147806,2105,,,,10681.437960925448,,,1.4241641070051283,12403,CAN,,,1540,44
New Brunswick,Canada,2022-08-28 08:33:03,46.5653,-66.4619,74440,462,,,,9432.037758560611,,,0.6206340677055346,12404,CAN,,,2961,19
Newfoundland and Labrador,Canada,2022-08-28 08:33:03,53.1355,-57.6604,50810,223,,,,9760.77363880335,,,0.4388899822869513,12405,CAN,,,1398,20
Northwest Territories,Canada,2022-08-28 08:33:03,64.8255,-124.8457,11511,22,,,,25296.677215189877,,,0.1911215359221614,12406,CAN,,,0,0
Nova Scotia,Canada,2022-08-28 08:33:03,44.682,-63.7443,120055,490,,,,12101.647590103372,,,0.408146266294615,12407,CAN,,,6386,23
Nunavut,Canada,2022-08-28 08:33:03,70.2998,-83.1076,3531,7,,,,8961.246605588407,,,0.1982441234777683,12416,CAN,,,0,0
Ontario,Canada,2022-08-28 08:33:03,51.2538,-85.3232,1425482,14008,,,,9614.565383782145,,,0.9826851549160214,12408,CAN,,,40460,306
Prince Edward Island,Canada,2022-08-28 08:33:03,46.5107,-63.4168,49411,53,,,,30070.351391813438,,,0.1072635647932646,12409,CAN,,,3171,4
Quebec,Canada,2022-08-28 08:33:03,52.9399,-73.5491,1175060,16333,,,,13656.350547010605,,,1.3899715759195277,12410,CAN,,,28166,376
Repatriated Travellers,Canada,2022-08-28 08:33:03,,,13,0,,,,,,,0.0,,,,,0,0
Saskatchewan,Canada,2022-08-28 08:33:03,52.9399,-106.4509,141815,1479,,,,12019.809398530651,,,1.0429080139618516,12411,CAN,,,1524,41
