Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,9/2/22,193520,7778,,,0,,497.11853890716793,,,,,4,AFG,2022/09/02,0,11391703,0
Afghanistan,9/3/22,193912,7780,,,392,,498.1255173448054,,,,,4,AFG,2022/09/03,2,11391703,0
Afghanistan,9/4/22,194163,7782,,,251,,498.7702918035988,,,,,4,AFG,2022/09/04,2,11391703,0
Afghanistan,9/5/22,194355,7783,,,192,,499.2635057322376,,,,,4,AFG,2022/09/05,1,11562525,170822
Afghanistan,9/6/22,194614,7783,,,259,,499.92883077139095,,,,,4,AFG,2022/09/06,0,11588893,26368
Afghanistan,9/7/22,195012,7785,,,398,,500.9512221442984,,,,,4,AFG,2022/09/07,2,11588893,0
Afghanistan,9/8/22,195298,7786,,,286,,501.6859053921666,,,,,4,AFG,2022/09/08,1,11588893,0
Afghanistan,9/9/22,195471,7786,,,173,,502.1303116924505,,,,,4,AFG,2022/09/09,0,11588893,0
Afghanistan,9/10/22,195631,7787,,,160,,502.5413232996495,,,,,4,AFG,2022/09/10,1,11588893,0
Afghanistan,9/11/22,195925,7787,,,294,,503.2965571278776,,,,,4,AFG,2022/09/11,0,11588893,0
Afghanistan,9/12/22,196182,7789,,,257,,503.95674452194095,,,,,4,AFG,2022/09/12,2,11725188,136295
Afghanistan,9/13/22,196404,7791,,,222,,504.5270231269296,,,,,4,AFG,2022/09/13,2,11725188,0
Afghanistan,9/14/22,196751,7792,,,347,,505.41840455004234,,,,,4,AFG,2022/09/14,1,11734635,9447
Afghanistan,9/15/22,196870,7792,,,119,,505.7240944328966,,,,,4,AFG,2022/09/15,0,11734635,0
Afghanistan,9/16/22,196992,7794,,,122,,506.0374907833858,,,,,4,AFG,2022/09/16,2,11734635,0
Afghanistan,9/17/22,197066,7794,,,74,,506.22758365171535,,,,,4,AFG,2022/09/17,0,11734635,0
Afghanistan,9/18/22,197240,7795,,,174,,506.6745587745442,,,,,4,AFG,2022/09/18,1,11734635,0
Afghanistan,9/19/22,197434,7796,,,194,,507.172910348273,,,,,4,AFG,2022/09/19,1,11734635,0
Afghanistan,9/20/22,197608,7796,,,174,,507.6198854711019,,,,,4,AFG,2022/09/20,0,11820186,85551
Afghanistan,9/21/22,197788,7796,,,180,,508.08227352920073,,,,,4,AFG,2022/09/21,0,11820186,0
Afghanistan,9/22/22,198023,7796,,,235,,508.6859468272742,,,,,4,AFG,2022/09/22,0,11820186,0
Afghanistan,9/23/22,198163,7796,,,140,,509.04558198357336,,,,,4,AFG,2022/09/23,0,11820186,0
Afghanistan,9/24/22,198244,7796,,,81,,509.25365660971784,,,,,4,AFG,2022/09/24,0,11820186,0
Afghanistan,9/25/22,198416,7796,,,172,,509.6954940874567,,,,,4,AFG,2022/09/25,0,11820186,0
Afghanistan,9/26/22,198543,7798,,,127,,510.02173455067094,,,,,4,AFG,2022/09/26,2,11820186,0
Afghanistan,9/27/22,198750,7798,,,207,,510.5534808174846,,,,,4,AFG,2022/09/27,0,11868997,48811
Afghanistan,9/28/22,198876,7799,,,126,,510.87715245815383,,,,,4,AFG,2022/09/28,1,11868997,0
Afghanistan,9/29/22,199067,7799,,,191,,511.3677975642476,,,,,4,AFG,2022/09/29,0,11881035,12038
Albania,9/2/22,329862,3583,,,247,,11462.297588435611,,,,,8,ALB,2022/09/02,0,2956198,0
Albania,9/3/22,330062,3583,,,200,,11469.247341719369,,,,,8,ALB,2022/09/03,0,2956198,0
Albania,9/4/22,330193,3583,,,131,,11473.79943012023,,,,,8,ALB,2022/09/04,0,2956198,0
Albania,9/5/22,330221,3583,,,28,,11474.772395579957,,,,,8,ALB,2022/09/05,0,2956198,0
Albania,9/6/22,330283,3583,,,62,,11476.926819097922,,,,,8,ALB,2022/09/06,0,2956198,0
Albania,9/7/22,330516,3584,,,233,,11485.0232816735,,,,,8,ALB,2022/09/07,1,2956198,0
Albania,9/8/22,330687,3584,,,171,,11490.965320731115,,,,,8,ALB,2022/09/08,0,2956198,0
Albania,9/9/22,330842,3584,,,155,,11496.351379526026,,,,,8,ALB,2022/09/09,0,2956198,0
Albania,9/10/22,330948,3584,,,106,,11500.034748766418,,,,,8,ALB,2022/09/10,0,2956198,0
Albania,9/11/22,331036,3584,,,88,,11503.092640211273,,,,,8,ALB,2022/09/11,0,2956198,0
Albania,9/12/22,331053,3585,,,17,,11503.683369240392,,,,,8,ALB,2022/09/12,1,2966256,10058
Albania,9/13/22,331191,3586,,,138,,11508.478699006186,,,,,8,ALB,2022/09/13,1,2966256,0
Albania,9/14/22,331295,3586,,,104,,11512.09257071374,,,,,8,ALB,2022/09/14,0,2966256,0
Albania,9/15/22,331384,3586,,,89,,11515.185210925012,,,,,8,ALB,2022/09/15,0,2966256,0
Albania,9/16/22,331459,3586,,,75,,11517.791368406422,,,,,8,ALB,2022/09/16,0,2966256,0
Albania,9/17/22,331540,3586,,,81,,11520.606018486344,,,,,8,ALB,2022/09/17,0,2966256,0
Albania,9/18/22,331583,3586,,,43,,11522.100215442351,,,,,8,ALB,2022/09/18,0,2966256,0
Albania,9/19/22,331601,3588,,,18,,11522.72569323789,,,,,8,ALB,2022/09/19,2,2966256,0
Albania,9/20/22,331715,3589,,,114,,11526.687052609632,,,,,8,ALB,2022/09/20,1,2966256,0
Albania,9/21/22,331810,3589,,,95,,11529.988185419417,,,,,8,ALB,2022/09/21,0,2966256,0
Albania,9/22/22,331861,3589,,,51,,11531.760372506777,,,,,8,ALB,2022/09/22,0,2966256,0
Albania,9/23/22,331908,3589,,,47,,11533.39356452846,,,,,8,ALB,2022/09/23,0,2966256,0
Albania,9/24/22,331953,3589,,,45,,11534.957259017305,,,,,8,ALB,2022/09/24,0,2966256,0
Albania,9/25/22,331976,3589,,,23,,11535.756480644937,,,,,8,ALB,2022/09/25,0,2966256,0
Albania,9/26/22,331987,3589,,,11,,11536.138717075544,,,,,8,ALB,2022/09/26,0,2966256,0
Albania,9/27/22,332066,3589,,,79,,11538.883869622628,,,,,8,ALB,2022/09/27,0,2966256,0
Albania,9/28/22,332129,3589,,,63,,11541.073041907011,,,,,8,ALB,2022/09/28,0,2966256,0
Albania,9/29/22,332173,3589,,,44,,11542.60198762944,,,,,8,ALB,2022/09/29,0,2974247,7991
Algeria,9/2/22,270405,6878,,,46,,616.6443977170622,,,,,12,DZA,2022/09/02,0,15205854,0
Algeria,9/3/22,270426,6878,,,21,,616.6922871139005,,,,,12,DZA,2022/09/03,0,15205854,0
Algeria,9/4/22,270443,6879,,,17,,616.7310547208649,,,,,12,DZA,2022/09/04,1,15205854,0
Algeria,9/5/22,270461,6879,,,18,,616.7721027752978,,,,,12,DZA,2022/09/05,0,15205854,0
Algeria,9/6/22,270476,6879,,,15,,616.806309487325,,,,,12,DZA,2022/09/06,0,15205854,0
Algeria,9/7/22,270489,6879,,,13,,616.8359553044155,,,,,12,DZA,2022/09/07,0,15205854,0
Algeria,9/8/22,270507,6879,,,18,,616.8770033588482,,,,,12,DZA,2022/09/08,0,15205854,0
Algeria,9/9/22,270522,6879,,,15,,616.9112100708757,,,,,12,DZA,2022/09/09,0,15205854,0
Algeria,9/10/22,270532,6879,,,10,,616.9340145455606,,,,,12,DZA,2022/09/10,0,15205854,0
Algeria,9/11/22,270539,6879,,,7,,616.9499776778399,,,,,12,DZA,2022/09/11,0,15205854,0
Algeria,9/12/22,270551,6879,,,12,,616.9773430474619,,,,,12,DZA,2022/09/12,0,15267442,61588
Algeria,9/14/22,270570,6879,,,19,,617.0206715493631,,,,,12,DZA,2022/09/14,0,15267442,0
Algeria,9/15/22,270584,6879,,,14,,617.052597813922,,,,,12,DZA,2022/09/15,0,15267442,0
Algeria,9/16/22,270599,6879,,,15,,617.0868045259493,,,,,12,DZA,2022/09/16,0,15267442,0
Algeria,9/17/22,270606,6879,,,7,,617.1027676582288,,,,,12,DZA,2022/09/17,0,15267442,0
Algeria,9/18/22,270609,6879,,,3,,617.1096090006342,,,,,12,DZA,2022/09/18,0,15267442,0
Algeria,9/19/22,270612,6879,,,3,,617.1164503430398,,,,,12,DZA,2022/09/19,0,15267442,0
Algeria,9/21/22,270619,6879,,,7,,617.1324134753191,,,,,12,DZA,2022/09/21,0,15267442,0
Algeria,9/22/22,270625,6879,,,6,,617.1460961601301,,,,,12,DZA,2022/09/22,0,15267442,0
Algeria,9/23/22,270631,6879,,,6,,617.159778844941,,,,,12,DZA,2022/09/23,0,15267442,0
Algeria,9/24/22,270637,6879,,,6,,617.173461529752,,,,,12,DZA,2022/09/24,0,15267442,0
Algeria,9/25/22,270641,6879,,,4,,617.1825833196259,,,,,12,DZA,2022/09/25,0,15267442,0
